Data,Venda,Produto,Ano,Mes,Faturamento
2019-01-05,27314.243373017427,Produto A,2019,1,59669.30030085813
2019-01-06,21806.834807386847,Produto A,2019,1,47828.37188475238
2019-01-07,24143.14397981897,Produto A,2019,1,52851.436605481445
2019-01-08,29239.726738375488,Produto A,2019,1,63809.08953637796
2019-01-09,27732.199164225567,Produto A,2019,1,60567.90525195563
2019-01-10,16244.751921059053,Produto A,2019,1,35869.89367914762
2019-01-11,24027.45702996833,Produto A,2019,1,52602.709663302565
2019-01-12,19579.81959289389,Produto A,2019,1,43040.28917359252
2019-01-13,19774.202276457614,Produto A,2019,1,43458.21194325453
2019-01-14,21848.996750827147,Produto A,2019,1,47919.02006314902
2019-01-15,20772.647940347626,Produto A,2019,1,45604.870120618056
2019-01-16,26063.356421116496,Produto A,2019,1,56979.893354271124
2019-01-17,23264.07033414356,Produto A,2019,1,50961.42826727931
2019-01-18,20682.32371659804,Produto A,2019,1,45410.673039556445
2019-01-19,21983.31973382603,Produto A,2019,1,48207.81447659662
2019-01-20,21538.37693393729,Produto A,2019,1,47251.187456835825
2019-01-21,26224.09129741041,Produto A,2019,1,57325.47333830304
2019-01-22,19362.57093091369,Produto A,2019,1,42573.2045503351
2019-01-23,21455.16737926634,Produto A,2019,1,47072.28691429329
2019-01-24,16742.161404699636,Produto A,2019,1,36939.32406897488
2019-01-25,9882.02712366199,Produto A,2019,1,22190.03536474394
2019-01-26,22830.311888388173,Produto A,2019,1,50028.84760890523
2019-01-27,23681.593370994688,Produto A,2019,1,51859.102796509236
2019-01-28,17194.137647598793,Produto A,2019,1,37911.072991208064
2019-01-29,29356.269171661963,Produto A,2019,1,64059.65576794388
2019-01-30,14318.271405970188,Produto A,2019,1,31727.960571706568
2019-01-31,20375.77289286324,Produto A,2019,1,44751.58876852662
2019-02-01,19436.151613595684,Produto A,2019,2,42731.40301810138
2019-02-02,26381.362467579453,Produto A,2019,2,57663.606354166484
2019-02-03,26125.27071285736,Produto A,2019,2,57113.009081513985
2019-02-04,20817.677704964142,Produto A,2019,2,45701.68411454357
2019-02-05,21719.020254153576,Produto A,2019,2,47639.57059530085
2019-02-06,16607.121151069605,Produto A,2019,2,36648.98752367031
2019-02-07,12193.543861311782,Produto A,2019,2,27159.796350690995
2019-02-08,18787.130741021,Produto A,2019,2,41336.00814206581
2019-02-09,20823.337137241866,Produto A,2019,2,45713.85189394067
2019-02-10,25159.913768778537,Produto A,2019,2,55037.491651744516
2019-02-11,25047.20982939145,Produto A,2019,2,54795.17818206228
2019-02-12,18627.974311306687,Produto A,2019,2,40993.82181818003
2019-02-13,18971.301493176798,Produto A,2019,2,41731.97525920077
2019-02-14,15957.943127059081,Produto A,2019,2,35253.25477204769
2019-02-15,14457.967569671298,Produto A,2019,2,32028.307323663954
2019-02-16,13302.080970256198,Produto A,2019,2,29543.15113492149
2019-02-17,28069.231045945966,Produto A,2019,2,61292.52379765448
